lat,lon
35.0957885,-106.5385549
35.0568104,-106.715321
35.086092,-106.695568
35.0784929,-106.5560938
35.1303568,-106.5809862
35.15111,-106.537797
35.1117847,-106.7126144
35.1117847,-106.7126144
35.0753799,-106.5534583
35.0659296,-106.5722875
35.0773747,-106.5605695
35.0640762,-106.6082814
35.0414912,-106.7421466
35.0706565,-106.6158449
35.0706565,-106.6158449
35.0790821,-106.4959493
35.1104043,-106.5236679
35.0895725,-106.5700776
35.0958872,-106.6380811
35.0958872,-106.6380811
35.0834013,-106.6329406
35.1024226,-106.5676745
35.0959563,-106.5611352
35.0784617,-106.551755
35.0537478,-106.5317998
35.0537478,-106.5317998
35.0644563,-106.5244581
35.0618273,-106.749104
35.0740251,-106.5617179
35.0766724,-106.5840562
35.0722449,-106.5704919
35.0733998,-106.695892
35.0733998,-106.695892
35.0761934,-106.5065729
35.128117,-106.607408
35.140829,-106.6390546
35.2051274,-106.6774896
35.0625561,-106.5030129
35.0893459,-106.65963
35.072135,-106.520184
35.0985619,-106.6258619
35.0769019,-106.560518
35.0746827,-106.5477881
35.0613348,-106.5847512
35.1871831,-106.6693139
35.0765759,-106.7410177
35.0593369,-106.6325842
35.0777013,-106.6825795
35.0969045,-106.6981492
35.0723133,-106.5649213
35.0613632,-106.5684933
35.062591,-106.5681835
35.0717857,-106.5651055
35.0640762,-106.6082814
35.0959766,-106.6529057
35.0719152,-106.5540107
35.1057845,-106.5859615
35.081367,-106.6439939
35.0644434,-106.750037
35.0694295,-106.5030956
35.0748997,-106.6442012
35.075743,-106.6460088
35.102202,-106.576406
35.061035,-106.614918
35.0850333,-106.7116798
35.0724896,-106.5112377
35.1454208,-106.5898521
35.0999477,-106.6814495
35.0722449,-106.5704919
35.1228758,-106.6524984
35.0860854,-106.6531705
35.1314718,-106.5993372
35.0700586,-106.5604097
35.0656074,-106.5026132
35.095586,-106.666784
35.095586,-106.666784
35.065228,-106.620301
35.1237297,-106.6622563
35.0803867,-106.7113874
35.10118,-106.580288
35.1293341,-106.5892536
35.0595135,-106.5839127
35.0778823,-106.5594889
35.0387539,-106.733116
35.0887252,-106.5605938
35.1051246,-106.5566347
35.1011814,-106.5547127
35.123776,-106.6779733
35.123776,-106.6779733
35.0706403,-106.5661183
35.073865,-106.5570178
35.0902212,-106.633213
35.0598129,-106.623819
35.0466662,-106.7173595
35.0466662,-106.7173595
35.1323175,-106.6079465
35.0895731,-106.6525948
35.0880189,-106.5631028
35.0880189,-106.5631028
35.1643789,-106.569255
35.1265553,-106.6092705
35.1474078,-106.5726602
35.0839698,-106.6495188
35.0828576,-106.6451986
35.0866574,-106.4954159
35.1491692,-106.5212591
35.1028979,-106.7079384
35.0809756,-106.6272192
35.0750176,-106.5600677
35.1192902,-106.6080612
35.1281842,-106.7075699
35.0969344,-106.5449419
35.0731738,-106.5027336
35.0731738,-106.5027336
35.0562933,-106.6311796
35.1095199,-106.6199663
35.0960183,-106.5282701
35.1084425,-106.5099148
35.1084425,-106.5099148
35.062858,-106.58339
35.0694132,-106.5661817
35.1234351,-106.6545176
35.0838129,-106.6393079
35.1839453,-106.6736436
35.1141073,-106.6589751
35.054596,-106.7394973
35.108623,-106.699481
35.089272,-106.641956
35.0788181,-106.5986625
35.0705387,-106.5025065
35.1119559,-106.6230949
35.0766249,-106.5490389
